[DEBUG][2017-07-03 10:22:13,059][us.codecraft.webmagic.downloader.CustomRedirectStrategy]Redirect requested to location 'https://help.github.com/articles/github-privacy-statement/'
[DEBUG][2017-07-03 10:22:13,425][us.codecraft.webmagic.utils.CharsetUtils]Auto get charset: utf-8
[INFO][2017-07-03 10:22:13,425][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page success https://github.com/c
[DEBUG][2017-07-03 10:22:13,898][us.codecraft.webmagic.utils.CharsetUtils]Auto get charset: utf-8
[INFO][2017-07-03 10:22:13,898][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page success https://github.com/site/privacy
[DEBUG][2017-07-03 10:22:13,907][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/enterprise/2
[DEBUG][2017-07-03 10:22:13,907][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/categories/site-policy
[DEBUG][2017-07-03 10:22:13,907][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/settings/admin
[DEBUG][2017-07-03 10:22:13,907][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/articles/github-terms-of-service
[DEBUG][2017-07-03 10:22:13,907][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/articles/github-security
[DEBUG][2017-07-03 10:22:13,908][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/blog/1964-open-source-license-usage-on-github-com
[DEBUG][2017-07-03 10:22:13,908][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/articles/github-privacy-statement
[DEBUG][2017-07-03 10:22:13,908][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/settings/emails
[DEBUG][2017-07-03 10:22:13,908][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/articles/global-privacy-practices
[DEBUG][2017-07-03 10:22:13,908][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/articles/guidelines-for-legal-requests-of-user-data
[DEBUG][2017-07-03 10:22:13,908][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/settings/profile
[DEBUG][2017-07-03 10:22:13,908][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/articles/keeping-your-email-address-private
[DEBUG][2017-07-03 10:22:13,949][us.codecraft.webmagic.utils.CharsetUtils]Auto get charset: utf-8
[INFO][2017-07-03 10:22:13,950][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page success https://github.com/site/terms
[DEBUG][2017-07-03 10:22:13,977][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/articles/amendment-to-github-terms-of-service-applicable-to-u-s-federal-government-users
[DEBUG][2017-07-03 10:22:13,977][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/articles/github-business-plan-addendum
[DEBUG][2017-07-03 10:22:13,977][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/articles/adding-a-license-to-a-repository
[DEBUG][2017-07-03 10:22:13,977][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/articles/making-a-public-repository-private
[DEBUG][2017-07-03 10:22:13,977][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/articles/dmca-takedown-policy
[DEBUG][2017-07-03 10:22:13,977][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/articles/what-is-github-pages
[DEBUG][2017-07-03 10:22:13,978][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/articles/github-marketplace-terms-of-service
[DEBUG][2017-07-03 10:22:13,978][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/articles/github-marketplace-developer-agreement
[DEBUG][2017-07-03 10:22:13,978][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/settings/billing
[DEBUG][2017-07-03 10:22:13,978][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/articles/how-do-i-cancel-my-account
[DEBUG][2017-07-03 10:22:15,054][us.codecraft.webmagic.utils.CharsetUtils]Auto get charset: utf-8
[INFO][2017-07-03 10:22:15,054][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page success https://github.com/code4craft/xsoup
[DEBUG][2017-07-03 10:22:15,554][us.codecraft.webmagic.utils.CharsetUtils]Auto get charset: utf-8
[INFO][2017-07-03 10:22:15,554][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page success https://github.com/f
[DEBUG][2017-07-03 10:22:15,569][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/f/graphql
[DEBUG][2017-07-03 10:22:15,569][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/ademilter/bricklayer
[DEBUG][2017-07-03 10:22:15,569][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/f/pq
[DEBUG][2017-07-03 10:22:15,569][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/kemalcr/kemal
[DEBUG][2017-07-03 10:22:15,569][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/f/delorean
[DEBUG][2017-07-03 10:22:15,569][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/f/omelette
[DEBUG][2017-07-03 10:22:15,569][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/rmosolgo/graphql-ruby
[DEBUG][2017-07-03 10:22:15,569][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/tbranyen/diffhtml
[DEBUG][2017-07-03 10:22:15,569][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/v
[DEBUG][2017-07-03 10:22:15,569][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/k
[DEBUG][2017-07-03 10:22:15,569][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/P
[DEBUG][2017-07-03 10:22:15,585][us.codecraft.webmagic.utils.CharsetUtils]Auto get charset: utf-8
[INFO][2017-07-03 10:22:15,585][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page success https://github.com/code4craft/blackhole
[DEBUG][2017-07-03 10:22:15,616][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/code4craft/wifesays
[DEBUG][2017-07-03 10:22:15,616][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/code4craft/hostd
[DEBUG][2017-07-03 10:22:15,616][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/code4craft/blackhole-bin
[DEBUG][2017-07-03 10:22:16,537][us.codecraft.webmagic.utils.CharsetUtils]Auto get charset: utf-8
[INFO][2017-07-03 10:22:16,537][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page success https://github.com/e
[DEBUG][2017-07-03 10:22:16,546][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/e/cool-js-photo-gallery
[DEBUG][2017-07-03 10:22:16,546][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/e/paraboloid
[DEBUG][2017-07-03 10:22:16,546][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/e/Rush
[DEBUG][2017-07-03 10:22:16,547][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/telefonicaid/Rush
[DEBUG][2017-07-03 10:22:16,547][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/e/horizon
